semanticnet_scale,n_items,match_type,n_dois,dois
coparenting gay/lesbian - alone,5,none,0,
coparenting gay/lesbian - opinions,5,none,0,
coparenting relationship,35,core_exact,6,10.1037/t32893-000;10.1037/t71843-000;10.1037/t73333-000;10.1037/t79163-000;10.1037/t85469-000;10.1037/t85470-000
cope - acceptance,4,none,0,
cope - active coping,4,none,0,
cope - behavioral disengagement,4,none,0,
cope - denial,4,none,0,
cope - emotional social support,4,none,0,
cope - emotions,4,none,0,
cope - growth,4,none,0,
cope - instrumental social support,4,none,0,
cope - mental disengagement,4,none,0,
cope - planning,4,none,0,
cope - religion,4,none,0,
cope - restraint coping,4,none,0,
cope - suppression of competing activities,4,none,0,
cope inventory,60,exact,1,10.1037/t10027-000
cope with discrimination - detachment,5,none,0,
cope with discrimination - drugs,5,none,0,
cope with discrimination - education,5,none,0,
cope with discrimination - internalization,5,none,0,
cope with discrimination - resistance,5,none,0,
coping,6,core_exact,10,10.1037/t00911-000;10.1037/t01555-000;10.1037/t02051-000;10.1037/t05400-000;10.1037/t08055-000;10.1037/t08720-000;10.1037/t20819-000;10.1037/t28531-000
coping strategies in sport - disengagement resignation,4,none,0,
coping strategies in sport - effort expenditure,3,none,0,
coping strategies in sport - logical analysis,4,none,0,
coping strategies in sport - mental distraction,4,none,0,
coping strategies in sport - mental imagery,4,none,0,
coping strategies in sport - relaxation,4,none,0,
coping strategies in sport - seeking support,4,none,0,
coping strategies in sport - social withdrawal,4,none,0,
coping strategies in sport - thought control,4,none,0,
coping strategies in sport - venting,4,none,0,
coping with children's negative emotions,12,core_exact,4,10.1037/t36426-000;10.1037/t36591-000;10.1037/t52123-000;10.1037/t70319-000
core self-evaluations,12,core_exact,7,10.1037/t11289-000;10.1037/t22106-000;10.1037/t40016-000;10.1037/t46333-000;10.1037/t60166-000;10.1037/t65610-000;10.1037/t72276-000
core self-evaluatoins,11,fuzzy,7,10.1037/t11289-000;10.1037/t22106-000;10.1037/t40016-000;10.1037/t46333-000;10.1037/t60166-000;10.1037/t65610-000;10.1037/t72276-000
cornell depression in dementia - behavioral,3,none,0,
cornell depression in dementia - cyclic functions,4,none,0,
cornell depression in dementia - ideational disturbance,4,none,0,
cornell depression in dementia - mood,4,none,0,
cornell depression in dementia - physical,3,none,0,
cornell dysthymia,20,none,0,
cosmopolitanism,3,none,0,
costello-comrey anxiety,11,none,0,
costello-comrey depression,11,none,0,
costs and benefits of friendship,115,none,0,
couple_self_report_coercion_scale,9,none,0,
craig handicap assessment -,1,none,0,
craig handicap assessment - assistance,3,none,0,
craig handicap assessment - financial,1,none,0,
craig handicap assessment - social,6,none,0,
craig handicap assessment - time,7,none,0,
craig handicap assessment - transport,4,none,0,
craig handicap assessment - upandabout,3,none,0,
creativity,31,core_exact,6,10.1037/t38696-000;10.1037/t44741-000;10.1037/t58821-000;10.1037/t58879-000;10.1037/t63102-000;10.1037/t68312-000
creativity2,10,none,0,
creativity3,10,none,0,
